IP Address,Trace Route (Hops)
175.116.239.145,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.158 -> 10.222.35.210 -> 10.222.24.67 -> 10.65.253.29 -> 100.74.57.154 -> 175.116.239.145
180.67.238.211,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.152 -> 10.222.22.234 -> 10.222.24.241 -> 10.65.253.65 -> 100.74.81.246 -> 180.67.238.211
118.219.77.33,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.154 -> 10.222.18.148 -> 10.222.24.241 -> 10.65.253.19 -> 100.74.122.66 -> 118.219.77.33
116.122.106.33,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.156 -> 10.222.9.10 -> 10.222.24.69 -> 10.65.251.3 -> 10.251.75.230 -> 116.122.106.33
1.224.122.91,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.158 -> 10.222.9.6 -> 10.222.24.247 -> 10.65.253.95 -> 100.74.144.166 -> 1.224.122.91
175.112.51.85,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.154 -> 10.222.35.214 -> 10.222.24.253 -> 10.65.253.65 -> 100.74.102.210 -> 175.112.51.85
1.225.116.27,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.156 -> 10.222.9.2 -> 10.222.24.241 -> 10.65.253.129 -> 100.74.128.42 -> 1.225.116.27
211.202.127.245,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.156 -> 10.222.22.240 -> 10.222.24.255 -> 10.65.253.183 -> 100.74.184.222 -> 211.202.127.245
123.214.67.133,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.156 -> 10.222.22.240 -> 10.222.24.71 -> 10.65.251.29 -> 100.74.96.18 -> 100.74.48.30 -> 123.214.67.133
211.245.112.47,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.156 -> 10.222.18.160 -> 10.222.24.69 -> 10.65.253.65 -> 100.74.67.150 -> 100.74.102.142 -> 211.245.112.47
218.236.103.149,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.158 -> 10.222.9.14 -> 10.222.24.253 -> 10.65.253.81 -> 100.74.67.150 -> 100.74.100.138 -> 218.236.103.149
116.122.111.53,만료되었습니다. -> 만료되었습니다. -> 100.81.225.217 -> 10.67.254.162 -> 10.222.18.152 -> 10.222.24.69 -> 10.65.253.89 -> 100.74.67.154 -> 100.74.226.190 -> 116.122.111.53
1.236.45.47,만료되었습니다. -> 만료되었습니다. -> 100.81.225.213 -> 10.67.254.154 -> 10.222.35.208 -> 10.222.24.245 -> 10.65.251.23 -> 100.74.115.234 -> 100.74.165.62 -> 1.236.45.47
